0.001	0.0921766	100000
0.002	0.0916816	100000
0.003	0.0925014	100000
0.004	0.0903935	100000
0.005	0.106708	100000
0.006	0.0773705	100000
0.007	0.0410184	100000
0.008	0.00650092	100000
0.009	0.00196519	100000
0.01	0.0222498	100000
0.011	0.00353054	100000
0.012	0.00218407	100000
0.013	0.000951181	100000
0.014	0.000385259	100000
0.015	0.000350636	100000
0.016	0.000229413	100000
0.017	0.000291982	100000
0.018	0.000191933	100000
0.019	0.000161775	100000
0.02	0.000160249	100000
0.021	0.000156148	100000
0.022	0.000166199	100000
0.023	0.000148672	100000
0.024	9.97015e-05	96000
0.025	9.87731e-05	99000
0.026	9.69955e-05	92000
0.027	9.80943e-05	84000
0.028	9.91141e-05	86000
0.029	9.98364e-05	79000
0.03	9.81497e-05	84000
0.031	9.98487e-05	84000
0.032	9.84536e-05	77000
0.033	9.83935e-05	76000
0.034	9.9473e-05	80000
0.035	9.93763e-05	80000
0.036	9.67805e-05	71000
0.037	9.96036e-05	70000
0.038	9.61397e-05	67000
0.039	9.85856e-05	81000
0.04	9.84175e-05	68000
0.041	9.94465e-05	66000
0.042	9.39082e-05	60000
0.043	9.46779e-05	64000
0.044	9.91421e-05	65000
0.045	9.91873e-05	62000
0.046	9.67876e-05	57000
0.047	9.4637e-05	58000
0.048	9.65016e-05	80000
0.049	9.76918e-05	53000
0.05	9.48145e-05	50000
0.051	9.69092e-05	50000
0.052	9.52985e-05	50000
0.053	9.48791e-05	53000
0.054	9.58324e-05	53000
0.055	9.74135e-05	52000
0.056	9.54395e-05	45000
0.057	9.28833e-05	51000
0.058	9.51765e-05	49000
0.059	9.88896e-05	47000
0.06	9.9252e-05	47000
0.061	9.6579e-05	74000
0.062	9.50259e-05	42000
0.063	9.64318e-05	37000
0.064	9.78668e-05	43000
0.065	9.69301e-05	50000
0.066	9.25218e-05	42000
0.067	9.52885e-05	42000
0.068	9.20349e-05	49000
0.069	9.24062e-05	39000
0.07	9.7967e-05	53000
0.071	9.47019e-05	37000
0.072	9.65216e-05	59000
0.073	9.80798e-05	43000
0.074	9.16194e-05	40000
0.075	9.32058e-05	38000
0.076	9.431e-05	49000
0.077	9.46256e-05	42000
0.078	9.44582e-05	38000
0.079	9.77547e-05	34000
0.08	9.93977e-05	35000
0.081	9.36656e-05	39000
0.082	9.89391e-05	58000
0.083	8.6154e-05	37000
0.084	9.79062e-05	56000
0.085	9.79774e-05	37000
0.086	9.62247e-05	33000
0.087	9.81456e-05	33000
0.088	9.86721e-05	55000
0.089	9.53956e-05	36000
0.09	8.69688e-05	39000
0.091	8.60067e-05	35000
0.092	9.68519e-05	78000
0.093	9.96133e-05	35000
0.094	9.26928e-05	35000
0.095	0.114561	100000
0.096	9.74332e-05	77000
0.097	9.90718e-05	61000
0.098	9.12655e-05	34000
0.099	9.73933e-05	61000
0.1	9.24168e-05	35000
0.101	9.69207e-05	36000
0.102	9.87581e-05	32000
0.103	9.44013e-05	29000
0.104	9.66777e-05	51000
0.105	8.90357e-05	28000
0.106	9.65997e-05	63000
0.107	9.73053e-05	98000
0.108	9.80297e-05	41000
0.109	9.13674e-05	39000
0.11	9.36418e-05	36000
0.111	9.36137e-05	40000
0.112	9.78088e-05	42000
